Time(Year),AbsRisk_T1,AbsRisk_T3,RiskDiff,NNT
0.15605749486652978,0.0011160714285713969,0.00956708906221419,0.008451017633642793,119
0.1697467488021903,0.0011401767011825848,0.010069489848933189,0.008929313147750605,112
0.17522245037645448,0.0011498188102270599,0.011281155100036022,0.010131336289808963,99
0.2518822724161533,0.001284808336849712,0.012526392939960496,0.011241584603110784,89
0.33401779603011633,0.0014294399725168396,0.013792384743883668,0.012362944771366829,81
0.34496919917864477,0.00144872419060579,0.015063270846017884,0.013614546655412094,74
0.5776865160848734,0.0018585138249959847,0.016401500097585786,0.014542986272589802,69
0.648870636550308,0.0019838612425741617,0.017756318967974694,0.01577245772540053,64
0.7419575633127995,0.00214777709633024,0.0191358746997613,0.016988097603431063,59
0.7474332648870636,0.0021574192053747145,0.0205154304315478,0.018358011226173084,55
0.7802874743326489,0.002215271859641566,0.021898883213424147,0.019683611353782583,51
0.8596851471594799,0.0023550824407864556,0.02330017421168573,0.020945091770899274,48
0.8870636550308009,0.0024032929860088315,0.023525261745283705,0.021121968759274874,48
1.0349075975359343,0.002684964404758729,0.024740734426712763,0.022055770021954035,46
1.212867898699521,0.003024013334735457,0.026222891365274004,0.023198878030538547,44
1.2265571526351813,0.0030500940216567434,0.02771412736624601,0.02466403334458927,41
1.4757015742642026,0.003524762523624163,0.02926482253791074,0.025740060014286577,39
1.6372347707049966,0.003832514629295347,0.0297959971879911,0.025963482558695752,39
1.9794661190965093,0.00403954746744839,0.030921367209347794,0.026881819741899404,38
